username,source,chat_type,category_slug,category_label,language,rank,scraped_at
chat_en_espanol,telegramchannels,group,all,All Categories,es,1,2026-03-31T13:32:48.478689+00:00
iptvycuentasgratis,telegramchannels,group,all,All Categories,es,2,2026-03-31T13:32:48.478699+00:00
lapatanamusic,telegramchannels,group,all,All Categories,es,3,2026-03-31T13:32:48.478703+00:00
gasolinacaracas,telegramchannels,group,all,All Categories,es,7,2026-03-31T13:32:48.478721+00:00
cienciadelenergismogrupo,telegramchannels,group,all,All Categories,es,8,2026-03-31T13:32:48.478725+00:00
mercadolibremaracay,telegramchannels,group,all,All Categories,es,9,2026-03-31T13:32:48.478727+00:00
amistad_chat_amigos,telegramchannels,group,all,All Categories,es,10,2026-03-31T13:32:48.478731+00:00
elanimeesmiadn,telegramchannels,group,all,All Categories,es,11,2026-03-31T13:32:48.478734+00:00
amazonchollazoses,telegramchannels,group,all,All Categories,es,12,2026-03-31T13:32:48.478737+00:00
libros_electronicos,telegramchannels,group,all,All Categories,es,13,2026-03-31T13:32:48.478740+00:00
telegorda1,telegramchannels,group,all,All Categories,es,14,2026-03-31T13:32:48.478743+00:00
cubaventas,telegramchannels,group,all,All Categories,es,15,2026-03-31T13:32:48.478746+00:00
bybitspanish,telegramchannels,group,all,All Categories,es,16,2026-03-31T13:32:48.478750+00:00
pythonesp,telegramchannels,group,all,All Categories,es,17,2026-03-31T13:32:48.478753+00:00
dineromovilchat,telegramchannels,group,all,All Categories,es,18,2026-03-31T13:32:48.478756+00:00
cursospremiumfull,telegramchannels,group,all,All Categories,es,19,2026-03-31T13:32:48.478760+00:00
tropipay_payments,telegramchannels,group,all,All Categories,es,20,2026-03-31T13:32:48.478763+00:00
flixper,telegramchannels,group,all,All Categories,es,21,2026-03-31T13:32:48.478767+00:00
apkpremium_pro_chat,telegramchannels,group,all,All Categories,es,22,2026-03-31T13:32:48.478770+00:00
fortinet_la,telegramchannels,group,all,All Categories,es,23,2026-03-31T13:32:48.478773+00:00
alichollos_tecnologia_es,telegramchannels,group,all,All Categories,es,24,2026-03-31T13:32:48.478776+00:00
estoicos,telegramchannels,group,all,All Categories,es,25,2026-03-31T13:32:48.478779+00:00
gnulinuxgrupo,telegramchannels,group,all,All Categories,es,26,2026-03-31T13:32:48.478782+00:00
mikrotik_la,telegramchannels,group,all,All Categories,es,27,2026-03-31T13:32:48.478785+00:00
simpsonsgrupo,telegramchannels,group,all,All Categories,es,28,2026-03-31T13:32:48.478788+00:00
pasaportevenezolano,telegramchannels,group,all,All Categories,es,29,2026-03-31T13:32:48.478792+00:00
vendoycompromaracay,telegramchannels,group,all,All Categories,es,30,2026-03-31T13:32:48.478795+00:00
ginseg,telegramchannels,group,all,All Categories,es,31,2026-03-31T13:32:48.478798+00:00
coronavirus_makers,telegramchannels,group,all,All Categories,es,32,2026-03-31T13:32:48.478802+00:00
rinconotaku,telegramchannels,group,all,All Categories,es,33,2026-03-31T13:32:48.478805+00:00
ofertasgrandes,telegramchannels,group,all,All Categories,es,34,2026-03-31T13:32:48.478808+00:00
medicinaentelegram,telegramchannels,group,all,All Categories,es,35,2026-03-31T13:32:48.478812+00:00
linuxeros_es,telegramchannels,group,all,All Categories,es,36,2026-03-31T13:32:48.478815+00:00
alichollos_hogar_es,telegramchannels,group,all,All Categories,es,37,2026-03-31T13:32:48.478818+00:00
thegoodhacker,telegramchannels,group,all,All Categories,es,38,2026-03-31T13:32:48.478821+00:00
anycubic,telegramchannels,group,all,All Categories,es,39,2026-03-31T13:32:48.478824+00:00
araguazonacentral,telegramchannels,group,all,All Categories,es,40,2026-03-31T13:32:48.478827+00:00
ediciongrafica,telegramchannels,group,all,All Categories,es,41,2026-03-31T13:32:48.478830+00:00
educacionaragonesa,telegramchannels,group,all,All Categories,es,42,2026-03-31T13:32:48.478833+00:00
grupodepsicoanalisis,telegramchannels,group,all,All Categories,es,43,2026-03-31T13:32:48.478837+00:00
alichollos_belleza_es,telegramchannels,group,all,All Categories,es,44,2026-03-31T13:32:48.478840+00:00
romeroshopmx,telegramchannels,group,all,All Categories,es,45,2026-03-31T13:32:48.478843+00:00
novelas4fan,telegramchannels,group,all,All Categories,es,46,2026-03-31T13:32:48.478846+00:00
gasolinamaracaiboof,telegramchannels,group,all,All Categories,es,47,2026-03-31T13:32:48.478849+00:00
arduchino,telegramchannels,group,all,All Categories,es,48,2026-03-31T13:32:48.478852+00:00
stgcrypto,telegramchannels,group,all,All Categories,es,49,2026-03-31T13:32:48.478855+00:00
semillas_estelares_starseeds,telegramchannels,group,all,All Categories,es,50,2026-03-31T13:32:48.478858+00:00
cc_21draw,telegramchannels,group,all,All Categories,es,51,2026-03-31T13:32:48.478861+00:00
forexprofitdc,telegramchannels,group,all,All Categories,es,52,2026-03-31T13:32:48.478864+00:00
detrasdelmapa,telegramchannels,group,all,All Categories,es,53,2026-03-31T13:32:48.478867+00:00
calibreconfiguraciones,telegramchannels,group,all,All Categories,es,54,2026-03-31T13:32:48.478871+00:00
wilmerdelgadoc,telegramchannels,group,all,All Categories,es,55,2026-03-31T13:32:48.478874+00:00
capacitacionesvisualtrader,telegramchannels,group,all,All Categories,es,56,2026-03-31T13:32:48.478877+00:00
loscursosdeldioskira,telegramchannels,group,all,All Categories,es,57,2026-03-31T13:32:48.478880+00:00
deepspacehispano,telegramchannels,group,all,All Categories,es,58,2026-03-31T13:32:48.478883+00:00
bricolaje_ferreteria,telegramchannels,group,all,All Categories,es,59,2026-03-31T13:32:48.478887+00:00
riverdalenow,telegramchannels,group,all,All Categories,es,60,2026-03-31T13:32:48.478889+00:00
super_cuotas,telegramchannels,group,all,All Categories,es,61,2026-03-31T13:32:48.478892+00:00
impresoras3desp,telegramchannels,group,all,All Categories,es,62,2026-03-31T13:32:48.478895+00:00
mobileshotbr,telegramchannels,group,all,All Categories,es,63,2026-03-31T13:32:48.478899+00:00
iptvgratis_anacondatv,telegramchannels,group,all,All Categories,es,64,2026-03-31T13:32:48.478902+00:00
alichollos_maternidad_es,telegramchannels,group,all,All Categories,es,65,2026-03-31T13:32:48.478905+00:00
anime_on_global,telegramchannels,group,all,All Categories,es,66,2026-03-31T13:32:48.478908+00:00
bitcoinesps,telegramchannels,group,all,All Categories,es,67,2026-03-31T13:32:48.478911+00:00
spainiptvzone9,telegramchannels,group,all,All Categories,es,68,2026-03-31T13:32:48.478914+00:00
club_de_ilustradores,telegramchannels,group,all,All Categories,es,69,2026-03-31T13:32:48.478917+00:00
flstudioesp,telegramchannels,group,all,All Categories,es,70,2026-03-31T13:32:48.478920+00:00
ezeiza,telegramchannels,group,all,All Categories,es,71,2026-03-31T13:32:48.478923+00:00
darwinizate,telegramchannels,group,all,All Categories,es,72,2026-03-31T13:32:48.478926+00:00
cartelseo,telegramchannels,group,all,All Categories,es,73,2026-03-31T13:32:48.478929+00:00
tvpelisflixhd,telegramchannels,group,all,All Categories,es,74,2026-03-31T13:32:48.478933+00:00
googleadsecommerce,telegramchannels,group,all,All Categories,es,75,2026-03-31T13:32:48.478936+00:00
chollosahora,telegramchannels,group,all,All Categories,es,76,2026-03-31T13:32:48.478939+00:00
fxnexotrading,telegramchannels,group,all,All Categories,es,77,2026-03-31T13:32:48.478941+00:00
educacion_tics,telegramchannels,group,all,All Categories,es,78,2026-03-31T13:32:48.478945+00:00
trivial_online,telegramchannels,group,all,All Categories,es,79,2026-03-31T13:32:48.478948+00:00
chataterrador,telegramchannels,group,all,All Categories,es,80,2026-03-31T13:32:48.478950+00:00
losgrandestoicoschat,telegramchannels,group,all,All Categories,es,81,2026-03-31T13:32:48.478953+00:00
