username,source,chat_type,category_slug,category_label,language,rank,scraped_at
stevenalbaghdadichat,tgstats,group,blogs,Blogs,,1,2026-03-05T11:12:21.005855+00:00
nevzorovpremium,tgstats,group,blogs,Blogs,,2,2026-03-05T11:12:21.005868+00:00
weather_in_kyiv_chat,tgstats,group,blogs,Blogs,,3,2026-03-05T11:12:21.005873+00:00
don_gryaz_chat2,tgstats,group,blogs,Blogs,,4,2026-03-05T11:12:21.005877+00:00
fuqibaclub,tgstats,group,blogs,Blogs,,5,2026-03-05T11:12:21.005881+00:00
anetrahmetchat,tgstats,group,blogs,Blogs,,6,2026-03-05T11:12:21.005884+00:00
deepchat7,tgstats,group,blogs,Blogs,,7,2026-03-05T11:12:21.005887+00:00
ksustudents,tgstats,group,blogs,Blogs,,8,2026-03-05T11:12:21.005891+00:00
montyan_chat,tgstats,group,blogs,Blogs,,9,2026-03-05T11:12:21.005894+00:00
pojratttv,tgstats,group,blogs,Blogs,,10,2026-03-05T11:12:21.005897+00:00
davlat_xizmatchi,tgstats,group,blogs,Blogs,,11,2026-03-05T11:12:21.005900+00:00
tanishuvlar_olami_011,tgstats,group,blogs,Blogs,,12,2026-03-05T11:12:21.005904+00:00
ravshannchat,tgstats,group,blogs,Blogs,,13,2026-03-05T11:12:21.005907+00:00
scallygramchattt,tgstats,group,blogs,Blogs,,14,2026-03-05T11:12:21.005910+00:00
bookerdechat,tgstats,group,blogs,Blogs,,15,2026-03-05T11:12:21.005913+00:00
expensive_hurma_chat,tgstats,group,blogs,Blogs,,16,2026-03-05T11:12:21.005916+00:00
kekdiskussion,tgstats,group,blogs,Blogs,,17,2026-03-05T11:12:21.005919+00:00
zavidushkichatik,tgstats,group,blogs,Blogs,,18,2026-03-05T11:12:21.005922+00:00
daryanachatik,tgstats,group,blogs,Blogs,,19,2026-03-05T11:12:21.005925+00:00
yuklogistik4432,tgstats,group,blogs,Blogs,,20,2026-03-05T11:12:21.005928+00:00
jiso11111,tgstats,group,blogs,Blogs,,21,2026-03-05T11:12:21.005931+00:00
romanov_92_chat,tgstats,group,blogs,Blogs,,22,2026-03-05T11:12:21.005934+00:00
moscowvpiskitut,tgstats,group,blogs,Blogs,,23,2026-03-05T11:12:21.005937+00:00
toshvil1055callcentrenew,tgstats,group,blogs,Blogs,,24,2026-03-05T11:12:21.005940+00:00
popovrtrchat,tgstats,group,blogs,Blogs,,25,2026-03-05T11:12:21.005943+00:00
avvablog_chat,tgstats,group,blogs,Blogs,,26,2026-03-05T11:12:21.005945+00:00
chatdizvezda,tgstats,group,blogs,Blogs,,27,2026-03-05T11:12:21.005948+00:00
gurpalar_tanishuvlar1,tgstats,group,blogs,Blogs,,28,2026-03-05T11:12:21.005954+00:00
naehali_chat,tgstats,group,blogs,Blogs,,29,2026-03-05T11:12:21.005957+00:00
vikzone9,tgstats,group,blogs,Blogs,,30,2026-03-05T11:12:21.005960+00:00
maxassmannchat,tgstats,group,blogs,Blogs,,31,2026-03-05T11:12:21.005963+00:00
iminlovewleochat,tgstats,group,blogs,Blogs,,32,2026-03-05T11:12:21.005965+00:00
vzimno_piar,tgstats,group,blogs,Blogs,,33,2026-03-05T11:12:21.005968+00:00
bete_kidus_michael_12,tgstats,group,blogs,Blogs,,34,2026-03-05T11:12:21.005971+00:00
mileevplants,tgstats,group,blogs,Blogs,,35,2026-03-05T11:12:21.005975+00:00
chat_vz_koshmar1,tgstats,group,blogs,Blogs,,36,2026-03-05T11:12:21.005978+00:00
obsudhdenya,tgstats,group,blogs,Blogs,,37,2026-03-05T11:12:21.005981+00:00
migrantmoskwa,tgstats,group,blogs,Blogs,,38,2026-03-05T11:12:21.005983+00:00
omir_avto_zapchast,tgstats,group,blogs,Blogs,,39,2026-03-05T11:12:21.005986+00:00
