username,source,chat_type,category_slug,category_label,language,rank,scraped_at
chat_en_espanol,telegramchannels,group,all,All Categories,es,1,2026-03-26T13:16:29.994082+00:00
iptvycuentasgratis,telegramchannels,group,all,All Categories,es,2,2026-03-26T13:16:29.994091+00:00
lapatanamusic,telegramchannels,group,all,All Categories,es,3,2026-03-26T13:16:29.994095+00:00
gasolinacaracas,telegramchannels,group,all,All Categories,es,7,2026-03-26T13:16:29.994111+00:00
cienciadelenergismogrupo,telegramchannels,group,all,All Categories,es,8,2026-03-26T13:16:29.994115+00:00
mercadolibremaracay,telegramchannels,group,all,All Categories,es,9,2026-03-26T13:16:29.994117+00:00
amistad_chat_amigos,telegramchannels,group,all,All Categories,es,10,2026-03-26T13:16:29.994120+00:00
elanimeesmiadn,telegramchannels,group,all,All Categories,es,11,2026-03-26T13:16:29.994124+00:00
amazonchollazoses,telegramchannels,group,all,All Categories,es,12,2026-03-26T13:16:29.994126+00:00
libros_electronicos,telegramchannels,group,all,All Categories,es,13,2026-03-26T13:16:29.994129+00:00
telegorda1,telegramchannels,group,all,All Categories,es,14,2026-03-26T13:16:29.994132+00:00
cubaventas,telegramchannels,group,all,All Categories,es,15,2026-03-26T13:16:29.994135+00:00
bybitspanish,telegramchannels,group,all,All Categories,es,16,2026-03-26T13:16:29.994138+00:00
pythonesp,telegramchannels,group,all,All Categories,es,17,2026-03-26T13:16:29.994141+00:00
dineromovilchat,telegramchannels,group,all,All Categories,es,18,2026-03-26T13:16:29.994144+00:00
cursospremiumfull,telegramchannels,group,all,All Categories,es,19,2026-03-26T13:16:29.994147+00:00
tropipay_payments,telegramchannels,group,all,All Categories,es,20,2026-03-26T13:16:29.994150+00:00
flixper,telegramchannels,group,all,All Categories,es,21,2026-03-26T13:16:29.994153+00:00
apkpremium_pro_chat,telegramchannels,group,all,All Categories,es,22,2026-03-26T13:16:29.994156+00:00
fortinet_la,telegramchannels,group,all,All Categories,es,23,2026-03-26T13:16:29.994158+00:00
alichollos_tecnologia_es,telegramchannels,group,all,All Categories,es,24,2026-03-26T13:16:29.994161+00:00
estoicos,telegramchannels,group,all,All Categories,es,25,2026-03-26T13:16:29.994164+00:00
gnulinuxgrupo,telegramchannels,group,all,All Categories,es,26,2026-03-26T13:16:29.994167+00:00
mikrotik_la,telegramchannels,group,all,All Categories,es,27,2026-03-26T13:16:29.994172+00:00
simpsonsgrupo,telegramchannels,group,all,All Categories,es,28,2026-03-26T13:16:29.994176+00:00
pasaportevenezolano,telegramchannels,group,all,All Categories,es,29,2026-03-26T13:16:29.994181+00:00
vendoycompromaracay,telegramchannels,group,all,All Categories,es,30,2026-03-26T13:16:29.994186+00:00
ginseg,telegramchannels,group,all,All Categories,es,31,2026-03-26T13:16:29.994191+00:00
coronavirus_makers,telegramchannels,group,all,All Categories,es,32,2026-03-26T13:16:29.994195+00:00
rinconotaku,telegramchannels,group,all,All Categories,es,33,2026-03-26T13:16:29.994200+00:00
ofertasgrandes,telegramchannels,group,all,All Categories,es,34,2026-03-26T13:16:29.994205+00:00
medicinaentelegram,telegramchannels,group,all,All Categories,es,35,2026-03-26T13:16:29.994209+00:00
linuxeros_es,telegramchannels,group,all,All Categories,es,36,2026-03-26T13:16:29.994213+00:00
alichollos_hogar_es,telegramchannels,group,all,All Categories,es,37,2026-03-26T13:16:29.994218+00:00
thegoodhacker,telegramchannels,group,all,All Categories,es,38,2026-03-26T13:16:29.994223+00:00
anycubic,telegramchannels,group,all,All Categories,es,39,2026-03-26T13:16:29.994227+00:00
ediciongrafica,telegramchannels,group,all,All Categories,es,40,2026-03-26T13:16:29.994230+00:00
araguazonacentral,telegramchannels,group,all,All Categories,es,41,2026-03-26T13:16:29.994233+00:00
educacionaragonesa,telegramchannels,group,all,All Categories,es,42,2026-03-26T13:16:29.994236+00:00
grupodepsicoanalisis,telegramchannels,group,all,All Categories,es,43,2026-03-26T13:16:29.994239+00:00
alichollos_belleza_es,telegramchannels,group,all,All Categories,es,44,2026-03-26T13:16:29.994242+00:00
gasolinamaracaiboof,telegramchannels,group,all,All Categories,es,45,2026-03-26T13:16:29.994245+00:00
romeroshopmx,telegramchannels,group,all,All Categories,es,46,2026-03-26T13:16:29.994248+00:00
arduchino,telegramchannels,group,all,All Categories,es,47,2026-03-26T13:16:29.994251+00:00
novelas4fan,telegramchannels,group,all,All Categories,es,48,2026-03-26T13:16:29.994255+00:00
stgcrypto,telegramchannels,group,all,All Categories,es,49,2026-03-26T13:16:29.994257+00:00
semillas_estelares_starseeds,telegramchannels,group,all,All Categories,es,50,2026-03-26T13:16:29.994261+00:00
cc_21draw,telegramchannels,group,all,All Categories,es,51,2026-03-26T13:16:29.994264+00:00
forexprofitdc,telegramchannels,group,all,All Categories,es,52,2026-03-26T13:16:29.994266+00:00
detrasdelmapa,telegramchannels,group,all,All Categories,es,53,2026-03-26T13:16:29.994269+00:00
calibreconfiguraciones,telegramchannels,group,all,All Categories,es,54,2026-03-26T13:16:29.994273+00:00
wilmerdelgadoc,telegramchannels,group,all,All Categories,es,55,2026-03-26T13:16:29.994275+00:00
capacitacionesvisualtrader,telegramchannels,group,all,All Categories,es,56,2026-03-26T13:16:29.994278+00:00
loscursosdeldioskira,telegramchannels,group,all,All Categories,es,57,2026-03-26T13:16:29.994281+00:00
deepspacehispano,telegramchannels,group,all,All Categories,es,58,2026-03-26T13:16:29.994284+00:00
bricolaje_ferreteria,telegramchannels,group,all,All Categories,es,59,2026-03-26T13:16:29.994287+00:00
riverdalenow,telegramchannels,group,all,All Categories,es,60,2026-03-26T13:16:29.994290+00:00
super_cuotas,telegramchannels,group,all,All Categories,es,61,2026-03-26T13:16:29.994293+00:00
impresoras3desp,telegramchannels,group,all,All Categories,es,62,2026-03-26T13:16:29.994296+00:00
mobileshotbr,telegramchannels,group,all,All Categories,es,63,2026-03-26T13:16:29.994299+00:00
iptvgratis_anacondatv,telegramchannels,group,all,All Categories,es,64,2026-03-26T13:16:29.994302+00:00
alichollos_maternidad_es,telegramchannels,group,all,All Categories,es,65,2026-03-26T13:16:29.994305+00:00
anime_on_global,telegramchannels,group,all,All Categories,es,66,2026-03-26T13:16:29.994308+00:00
bitcoinesps,telegramchannels,group,all,All Categories,es,67,2026-03-26T13:16:29.994311+00:00
spainiptvzone9,telegramchannels,group,all,All Categories,es,68,2026-03-26T13:16:29.994314+00:00
club_de_ilustradores,telegramchannels,group,all,All Categories,es,69,2026-03-26T13:16:29.994316+00:00
ezeiza,telegramchannels,group,all,All Categories,es,70,2026-03-26T13:16:29.994319+00:00
flstudioesp,telegramchannels,group,all,All Categories,es,71,2026-03-26T13:16:29.994322+00:00
darwinizate,telegramchannels,group,all,All Categories,es,72,2026-03-26T13:16:29.994325+00:00
cartelseo,telegramchannels,group,all,All Categories,es,73,2026-03-26T13:16:29.994328+00:00
tvpelisflixhd,telegramchannels,group,all,All Categories,es,74,2026-03-26T13:16:29.994330+00:00
googleadsecommerce,telegramchannels,group,all,All Categories,es,75,2026-03-26T13:16:29.994333+00:00
chollosahora,telegramchannels,group,all,All Categories,es,76,2026-03-26T13:16:29.994336+00:00
fxnexotrading,telegramchannels,group,all,All Categories,es,77,2026-03-26T13:16:29.994339+00:00
educacion_tics,telegramchannels,group,all,All Categories,es,78,2026-03-26T13:16:29.994342+00:00
trivial_online,telegramchannels,group,all,All Categories,es,79,2026-03-26T13:16:29.994344+00:00
chataterrador,telegramchannels,group,all,All Categories,es,80,2026-03-26T13:16:29.994347+00:00
losgrandestoicoschat,telegramchannels,group,all,All Categories,es,81,2026-03-26T13:16:29.994350+00:00
solopeliculasesp,telegramchannels,group,all,All Categories,es,82,2026-03-26T13:16:29.994353+00:00
pepefy_chat,telegramchannels,group,all,All Categories,es,83,2026-03-26T13:16:29.994356+00:00
goodboytalking,telegramchannels,group,all,All Categories,es,84,2026-03-26T13:16:29.994358+00:00
dibujoilustracionyacuarelas,telegramchannels,group,all,All Categories,es,85,2026-03-26T13:16:29.994361+00:00
licenciaswindowsyoffice,telegramchannels,group,all,All Categories,es,86,2026-03-26T13:16:29.994363+00:00
odisea_filosofica,telegramchannels,group,all,All Categories,es,87,2026-03-26T13:16:29.994366+00:00
productores_musicales_gt,telegramchannels,group,all,All Categories,es,88,2026-03-26T13:16:29.994369+00:00
samsaraworld,telegramchannels,group,all,All Categories,es,89,2026-03-26T13:16:29.994372+00:00
cinedeterrorasiagrupo,telegramchannels,group,all,All Categories,es,90,2026-03-26T13:16:29.994375+00:00
vintbooks,telegramchannels,group,all,All Categories,es,91,2026-03-26T13:16:29.994377+00:00
huntersarena_cu,telegramchannels,group,all,All Categories,es,92,2026-03-26T13:16:29.994380+00:00
astrologiayespiritualidad,telegramchannels,group,all,All Categories,es,93,2026-03-26T13:16:29.994383+00:00
limitvtelevisio,telegramchannels,group,all,All Categories,es,94,2026-03-26T13:16:29.994386+00:00
tradingiberiacomunidad,telegramchannels,group,all,All Categories,es,95,2026-03-26T13:16:29.994389+00:00
compraventcdmx,telegramchannels,group,all,All Categories,es,96,2026-03-26T13:16:29.994391+00:00
seduccione,telegramchannels,group,all,All Categories,es,97,2026-03-26T13:16:29.994394+00:00
pokemongochamberi,telegramchannels,group,all,All Categories,es,98,2026-03-26T13:16:29.994397+00:00
cazadoresdecriptomonedas,telegramchannels,group,all,All Categories,es,99,2026-03-26T13:16:29.994400+00:00
officeywindows,telegramchannels,group,all,All Categories,es,100,2026-03-26T13:16:29.994402+00:00
grupojuridicolexiurisve,telegramchannels,group,all,All Categories,es,101,2026-03-26T13:16:29.994405+00:00
oracioneintercesion,telegramchannels,group,all,All Categories,es,102,2026-03-26T13:16:29.994407+00:00
grupodelocos,telegramchannels,group,all,All Categories,es,103,2026-03-26T13:16:29.994410+00:00
club_de_ilustradores,telegramchannels,group,3,Art & Design,es,1,2026-03-26T13:16:43.638247+00:00
ediciongrafica,telegramchannels,group,3,Art & Design,es,2,2026-03-26T13:16:43.638254+00:00
dibujoilustracionyacuarelas,telegramchannels,group,3,Art & Design,es,3,2026-03-26T13:16:43.638257+00:00
grafico2020,telegramchannels,group,3,Art & Design,es,7,2026-03-26T13:16:43.638274+00:00
amantes_ford,telegramchannels,group,4,Auto & Moto,es,1,2026-03-26T13:16:57.219033+00:00
pronosticosdeportivosef,telegramchannels,group,33,Betting,es,1,2026-03-26T13:17:10.675708+00:00
super_cuotas,telegramchannels,group,33,Betting,es,2,2026-03-26T13:17:10.675716+00:00
best_aciertos,telegramchannels,group,33,Betting,es,3,2026-03-26T13:17:10.675719+00:00
astrotipster,telegramchannels,group,33,Betting,es,7,2026-03-26T13:17:10.675735+00:00
futboleliteinfo,telegramchannels,group,33,Betting,es,8,2026-03-26T13:17:10.675738+00:00
botcoach,telegramchannels,group,33,Betting,es,9,2026-03-26T13:17:10.675740+00:00
gratis_rusbet,telegramchannels,group,33,Betting,es,10,2026-03-26T13:17:10.675743+00:00
droidzone,telegramchannels,group,5,Blogs,es,1,2026-03-26T13:17:23.972192+00:00
libros_electronicos,telegramchannels,group,6,Books & Magazine,es,1,2026-03-26T13:17:37.715064+00:00
cienciadelenergismogrupo,telegramchannels,group,6,Books & Magazine,es,2,2026-03-26T13:17:37.715072+00:00
novelas4fan,telegramchannels,group,6,Books & Magazine,es,3,2026-03-26T13:17:37.715075+00:00
calibreconfiguraciones,telegramchannels,group,6,Books & Magazine,es,7,2026-03-26T13:17:37.715092+00:00
vintbooks,telegramchannels,group,6,Books & Magazine,es,8,2026-03-26T13:17:37.715094+00:00
it_jobs_mexico,telegramchannels,group,7,Business & Startups,es,1,2026-03-26T13:17:51.183179+00:00
vencomcacaracas1,telegramchannels,group,7,Business & Startups,es,2,2026-03-26T13:17:51.183187+00:00
themanager_chat,telegramchannels,group,7,Business & Startups,es,3,2026-03-26T13:17:51.183190+00:00
gasolinamaracaiboof,telegramchannels,group,35,Communication,es,1,2026-03-26T13:18:14.769929+00:00
amistad_chat_amigos,telegramchannels,group,35,Communication,es,2,2026-03-26T13:18:14.769937+00:00
amistad_telegram,telegramchannels,group,35,Communication,es,3,2026-03-26T13:18:14.769940+00:00
iniciativa_volcan,telegramchannels,group,35,Communication,es,7,2026-03-26T13:18:14.769957+00:00
amistadvipenelmundo,telegramchannels,group,35,Communication,es,8,2026-03-26T13:18:14.769960+00:00
anonymous_chat_group,telegramchannels,group,35,Communication,es,9,2026-03-26T13:18:14.769963+00:00
wwwauracryptonet,telegramchannels,group,41,Crypto Airdrop,es,1,2026-03-26T13:18:27.632893+00:00
dineromovilchat,telegramchannels,group,9,Cryptocurrencies,es,1,2026-03-26T13:18:41.237165+00:00
bybitspanish,telegramchannels,group,9,Cryptocurrencies,es,2,2026-03-26T13:18:41.237172+00:00
stgcrypto,telegramchannels,group,9,Cryptocurrencies,es,3,2026-03-26T13:18:41.237175+00:00
deepspacehispano,telegramchannels,group,9,Cryptocurrencies,es,7,2026-03-26T13:18:41.237192+00:00
bitcoinesps,telegramchannels,group,9,Cryptocurrencies,es,8,2026-03-26T13:18:41.237195+00:00
cazadoresdecriptomonedas,telegramchannels,group,9,Cryptocurrencies,es,9,2026-03-26T13:18:41.237198+00:00
