username,source,chat_type,category_slug,category_label,language,rank,scraped_at
chat_en_espanol,telegramchannels,group,all,All Categories,es,1,2026-04-05T13:05:58.780241+00:00
iptvycuentasgratis,telegramchannels,group,all,All Categories,es,2,2026-04-05T13:05:58.780250+00:00
lapatanamusic,telegramchannels,group,all,All Categories,es,3,2026-04-05T13:05:58.780253+00:00
gasolinacaracas,telegramchannels,group,all,All Categories,es,7,2026-04-05T13:05:58.780270+00:00
cienciadelenergismogrupo,telegramchannels,group,all,All Categories,es,8,2026-04-05T13:05:58.780273+00:00
mercadolibremaracay,telegramchannels,group,all,All Categories,es,9,2026-04-05T13:05:58.780276+00:00
amistad_chat_amigos,telegramchannels,group,all,All Categories,es,10,2026-04-05T13:05:58.780278+00:00
elanimeesmiadn,telegramchannels,group,all,All Categories,es,11,2026-04-05T13:05:58.780281+00:00
amazonchollazoses,telegramchannels,group,all,All Categories,es,12,2026-04-05T13:05:58.780284+00:00
libros_electronicos,telegramchannels,group,all,All Categories,es,13,2026-04-05T13:05:58.780287+00:00
telegorda1,telegramchannels,group,all,All Categories,es,14,2026-04-05T13:05:58.780290+00:00
cubaventas,telegramchannels,group,all,All Categories,es,15,2026-04-05T13:05:58.780292+00:00
bybitspanish,telegramchannels,group,all,All Categories,es,16,2026-04-05T13:05:58.780295+00:00
pythonesp,telegramchannels,group,all,All Categories,es,17,2026-04-05T13:05:58.780298+00:00
dineromovilchat,telegramchannels,group,all,All Categories,es,18,2026-04-05T13:05:58.780301+00:00
cursospremiumfull,telegramchannels,group,all,All Categories,es,19,2026-04-05T13:05:58.780304+00:00
tropipay_payments,telegramchannels,group,all,All Categories,es,20,2026-04-05T13:05:58.780306+00:00
flixper,telegramchannels,group,all,All Categories,es,21,2026-04-05T13:05:58.780309+00:00
apkpremium_pro_chat,telegramchannels,group,all,All Categories,es,22,2026-04-05T13:05:58.780312+00:00
fortinet_la,telegramchannels,group,all,All Categories,es,23,2026-04-05T13:05:58.780315+00:00
alichollos_tecnologia_es,telegramchannels,group,all,All Categories,es,24,2026-04-05T13:05:58.780318+00:00
estoicos,telegramchannels,group,all,All Categories,es,25,2026-04-05T13:05:58.780320+00:00
gnulinuxgrupo,telegramchannels,group,all,All Categories,es,26,2026-04-05T13:05:58.780323+00:00
mikrotik_la,telegramchannels,group,all,All Categories,es,27,2026-04-05T13:05:58.780326+00:00
simpsonsgrupo,telegramchannels,group,all,All Categories,es,28,2026-04-05T13:05:58.780329+00:00
pasaportevenezolano,telegramchannels,group,all,All Categories,es,29,2026-04-05T13:05:58.780331+00:00
vendoycompromaracay,telegramchannels,group,all,All Categories,es,30,2026-04-05T13:05:58.780334+00:00
ginseg,telegramchannels,group,all,All Categories,es,31,2026-04-05T13:05:58.780336+00:00
coronavirus_makers,telegramchannels,group,all,All Categories,es,32,2026-04-05T13:05:58.780339+00:00
rinconotaku,telegramchannels,group,all,All Categories,es,33,2026-04-05T13:05:58.780341+00:00
ofertasgrandes,telegramchannels,group,all,All Categories,es,34,2026-04-05T13:05:58.780344+00:00
medicinaentelegram,telegramchannels,group,all,All Categories,es,35,2026-04-05T13:05:58.780347+00:00
linuxeros_es,telegramchannels,group,all,All Categories,es,36,2026-04-05T13:05:58.780349+00:00
alichollos_hogar_es,telegramchannels,group,all,All Categories,es,37,2026-04-05T13:05:58.780352+00:00
thegoodhacker,telegramchannels,group,all,All Categories,es,38,2026-04-05T13:05:58.780355+00:00
anycubic,telegramchannels,group,all,All Categories,es,39,2026-04-05T13:05:58.780357+00:00
araguazonacentral,telegramchannels,group,all,All Categories,es,40,2026-04-05T13:05:58.780360+00:00
ediciongrafica,telegramchannels,group,all,All Categories,es,41,2026-04-05T13:05:58.780363+00:00
educacionaragonesa,telegramchannels,group,all,All Categories,es,42,2026-04-05T13:05:58.780366+00:00
grupodepsicoanalisis,telegramchannels,group,all,All Categories,es,43,2026-04-05T13:05:58.780368+00:00
novelas4fan,telegramchannels,group,all,All Categories,es,44,2026-04-05T13:05:58.780371+00:00
alichollos_belleza_es,telegramchannels,group,all,All Categories,es,45,2026-04-05T13:05:58.780374+00:00
romeroshopmx,telegramchannels,group,all,All Categories,es,46,2026-04-05T13:05:58.780377+00:00
gasolinamaracaiboof,telegramchannels,group,all,All Categories,es,47,2026-04-05T13:05:58.780379+00:00
arduchino,telegramchannels,group,all,All Categories,es,48,2026-04-05T13:05:58.780382+00:00
semillas_estelares_starseeds,telegramchannels,group,all,All Categories,es,49,2026-04-05T13:05:58.780385+00:00
stgcrypto,telegramchannels,group,all,All Categories,es,50,2026-04-05T13:05:58.780388+00:00
cc_21draw,telegramchannels,group,all,All Categories,es,51,2026-04-05T13:05:58.780391+00:00
forexprofitdc,telegramchannels,group,all,All Categories,es,52,2026-04-05T13:05:58.780393+00:00
detrasdelmapa,telegramchannels,group,all,All Categories,es,53,2026-04-05T13:05:58.780396+00:00
calibreconfiguraciones,telegramchannels,group,all,All Categories,es,54,2026-04-05T13:05:58.780399+00:00
wilmerdelgadoc,telegramchannels,group,all,All Categories,es,55,2026-04-05T13:05:58.780402+00:00
capacitacionesvisualtrader,telegramchannels,group,all,All Categories,es,56,2026-04-05T13:05:58.780405+00:00
loscursosdeldioskira,telegramchannels,group,all,All Categories,es,57,2026-04-05T13:05:58.780407+00:00
deepspacehispano,telegramchannels,group,all,All Categories,es,58,2026-04-05T13:05:58.780410+00:00
bricolaje_ferreteria,telegramchannels,group,all,All Categories,es,59,2026-04-05T13:05:58.780412+00:00
riverdalenow,telegramchannels,group,all,All Categories,es,60,2026-04-05T13:05:58.780415+00:00
super_cuotas,telegramchannels,group,all,All Categories,es,61,2026-04-05T13:05:58.780418+00:00
impresoras3desp,telegramchannels,group,all,All Categories,es,62,2026-04-05T13:05:58.780427+00:00
mobileshotbr,telegramchannels,group,all,All Categories,es,63,2026-04-05T13:05:58.780429+00:00
iptvgratis_anacondatv,telegramchannels,group,all,All Categories,es,64,2026-04-05T13:05:58.780432+00:00
alichollos_maternidad_es,telegramchannels,group,all,All Categories,es,65,2026-04-05T13:05:58.780435+00:00
anime_on_global,telegramchannels,group,all,All Categories,es,66,2026-04-05T13:05:58.780438+00:00
bitcoinesps,telegramchannels,group,all,All Categories,es,67,2026-04-05T13:05:58.780441+00:00
spainiptvzone9,telegramchannels,group,all,All Categories,es,68,2026-04-05T13:05:58.780443+00:00
club_de_ilustradores,telegramchannels,group,all,All Categories,es,69,2026-04-05T13:05:58.780446+00:00
ezeiza,telegramchannels,group,all,All Categories,es,70,2026-04-05T13:05:58.780449+00:00
flstudioesp,telegramchannels,group,all,All Categories,es,71,2026-04-05T13:05:58.780452+00:00
darwinizate,telegramchannels,group,all,All Categories,es,72,2026-04-05T13:05:58.780454+00:00
cartelseo,telegramchannels,group,all,All Categories,es,73,2026-04-05T13:05:58.780457+00:00
tvpelisflixhd,telegramchannels,group,all,All Categories,es,74,2026-04-05T13:05:58.780460+00:00
googleadsecommerce,telegramchannels,group,all,All Categories,es,75,2026-04-05T13:05:58.780462+00:00
chollosahora,telegramchannels,group,all,All Categories,es,76,2026-04-05T13:05:58.780465+00:00
fxnexotrading,telegramchannels,group,all,All Categories,es,77,2026-04-05T13:05:58.780467+00:00
educacion_tics,telegramchannels,group,all,All Categories,es,78,2026-04-05T13:05:58.780471+00:00
trivial_online,telegramchannels,group,all,All Categories,es,79,2026-04-05T13:05:58.780473+00:00
chataterrador,telegramchannels,group,all,All Categories,es,80,2026-04-05T13:05:58.780476+00:00
losgrandestoicoschat,telegramchannels,group,all,All Categories,es,81,2026-04-05T13:05:58.780478+00:00
solopeliculasesp,telegramchannels,group,all,All Categories,es,82,2026-04-05T13:05:58.780481+00:00
pepefy_chat,telegramchannels,group,all,All Categories,es,83,2026-04-05T13:05:58.780484+00:00
goodboytalking,telegramchannels,group,all,All Categories,es,84,2026-04-05T13:05:58.780487+00:00
dibujoilustracionyacuarelas,telegramchannels,group,all,All Categories,es,85,2026-04-05T13:05:58.780489+00:00
odisea_filosofica,telegramchannels,group,all,All Categories,es,86,2026-04-05T13:05:58.780492+00:00
licenciaswindowsyoffice,telegramchannels,group,all,All Categories,es,87,2026-04-05T13:05:58.780494+00:00
vintbooks,telegramchannels,group,all,All Categories,es,88,2026-04-05T13:05:58.780497+00:00
samsaraworld,telegramchannels,group,all,All Categories,es,89,2026-04-05T13:05:58.780500+00:00
