username,source,chat_type,category_slug,category_label,language,rank,scraped_at
weather_in_kyiv_chat,tgstats,group,blogs,Blogs,,1,2026-04-25T13:42:10.977293+00:00
nevzorovpremium,tgstats,group,blogs,Blogs,,2,2026-04-25T13:42:10.977306+00:00
fuqibaclub,tgstats,group,blogs,Blogs,,3,2026-04-25T13:42:10.977312+00:00
ksustudents,tgstats,group,blogs,Blogs,,4,2026-04-25T13:42:10.977316+00:00
anetrahmetchat,tgstats,group,blogs,Blogs,,5,2026-04-25T13:42:10.977319+00:00
ravshannchat,tgstats,group,blogs,Blogs,,6,2026-04-25T13:42:10.977323+00:00
montyan_chat,tgstats,group,blogs,Blogs,,7,2026-04-25T13:42:10.977326+00:00
scallygramchattt,tgstats,group,blogs,Blogs,,8,2026-04-25T13:42:10.977329+00:00
pojratttv,tgstats,group,blogs,Blogs,,9,2026-04-25T13:42:10.977332+00:00
kekdiskussion,tgstats,group,blogs,Blogs,,10,2026-04-25T13:42:10.977335+00:00
expensive_hurma_chat,tgstats,group,blogs,Blogs,,11,2026-04-25T13:42:10.977338+00:00
yuklogistik4432,tgstats,group,blogs,Blogs,,12,2026-04-25T13:42:10.977342+00:00
avvablog_chat,tgstats,group,blogs,Blogs,,13,2026-04-25T13:42:10.977345+00:00
bookerdechat,tgstats,group,blogs,Blogs,,14,2026-04-25T13:42:10.977348+00:00
romanov_92_chat,tgstats,group,blogs,Blogs,,15,2026-04-25T13:42:10.977351+00:00
dostlar_davrasi_radiklar,tgstats,group,blogs,Blogs,,16,2026-04-25T13:42:10.977354+00:00
yurist_maslahati_guruhi,tgstats,group,blogs,Blogs,,17,2026-04-25T13:42:10.977357+00:00
daryanachatik,tgstats,group,blogs,Blogs,,18,2026-04-25T13:42:10.977361+00:00
deepchat7,tgstats,group,blogs,Blogs,,19,2026-04-25T13:42:10.977364+00:00
chatdizvezda,tgstats,group,blogs,Blogs,,20,2026-04-25T13:42:10.977367+00:00
jiso11111,tgstats,group,blogs,Blogs,,21,2026-04-25T13:42:10.977370+00:00
toshvil1055callcentrenew,tgstats,group,blogs,Blogs,,22,2026-04-25T13:42:10.977373+00:00
international_english_chattings,tgstats,group,blogs,Blogs,,23,2026-04-25T13:42:10.977376+00:00
